"year","Country","downloads"
"2018","Ecuador",1870
"2018","El Salvador",252
"2018","Equatorial Guinea",2
"2018","Eritrea",2
"2018","Estonia",643
"2018","Ethiopia",443
"2018","Fiji",40
"2018","Finland",4752
"2018","France",21655
"2018","Gabon",15
"2018","Gambia",41
"2018","Georgia",150
"2018","Germany",48851
"2018","Ghana",452
"2018","Greece",2752
"2018","Greenland",16
"2018","Grenada",2
"2018","Guatemala",469
"2018","Guinea",24
"2018","Guyana",26
"2018","Haiti",87
"2018","Honduras",408
"2018","Hong Kong",13652
"2018","Hungary",1904
"2018","Iceland",547
"2018","India",34542
"2018","Indonesia",7202
"2018","Iran",1264
"2018","Iraq",119
"2018","Ireland",4160
"2018","Israel",4030
"2018","Italy",12645
"2018","Jamaica",139
"2018","Japan",23458
"2018","Jordan",423
"2018","Kazakhstan",470
"2018","Kenya",1840
"2018","Korea, Republic",19849
"2018","Kuwait",176
"2018","Kyrgyzstan",60
"2018","Laos",22
"2018","Latvia",643
"2018","Lebanon",354
"2018","Lesotho",43
"2018","Liberia",10
"2018","Libya",18
"2018","Liechtenstein",45
"2018","Lithuania",1049
"2018","Luxembourg",392
"2018","Macedonia",90
"2018","Madagascar",108
"2018","Malawi",91
"2018","Malaysia",3483
"2018","Maldives",27
"2018","Mali",48
"2018","Malta",226
"2018","Marshall Islands",2
"2018","Mauritania",53
"2018","Mauritius",351
"2018","Mexico",10058
"2018","Micronesia",3
"2018","Moldova",85
"2018","Monaco",47
"2018","Mongolia",171
"2018","Morocco",795
"2018","Mozambique",87
"2018","Myanmar",19
"2018","Nepal",397
"2018","Netherlands",17667
"2018","New Zealand",4480
"2018","Nicaragua",72
"2018","Niger",31
"2018","Nigeria",1037
"2018","Norway",3783
"2018","Oman",128
"2018","Pakistan",1739
"2018","Palau",3
"2018","Panama",266
"2018","Papua New Guinea",40
"2018","Paraguay",138
"2018","Peru",3526
"2018","Philippines",2909
"2018","Poland",8999
"2018","Portugal",3278
"2018","Puerto Rico",813
"2018","Qatar",275
"2018","Romania",3535
"2018","Russian Federation",15460
"2018","Rwanda",136
"2018","Saint Kitts and Nevis",6
"2018","Saint Lucia",6
"2018","Saint Vincent and the Grenadines",15
"2018","Samoa",6
"2018","San Marino",3
"2018","Sao Tome and Príncipe",5
"2018","Saudi Arabia",1055
"2018","Senegal",177
"2018","Seychelles",85
"2018","Sierra Leone",14
"2018","Singapore",6187
"2018","Slovakia (Slovak Republic)",771
"2018","Slovenia",1052
"2018","Solomon Islands",6
"2018","Somalia",23
"2018","South Africa",6950
"2018","Spain",17497
"2018","Sri Lanka",704
"2018","Sudan",66
"2018","Suriname",42
"2018","Swaziland",50
"2018","Sweden",6020
"2018","Switzerland",13973
"2018","Syrian Arab Republic",41
"2018","Taiwan",10308
"2018","Tajikistan",6
"2018","Tanzania",246
"2018","Thailand",3218
"2018","Togo",11
"2018","Trinidad and Tobago",415
"2018","Tunisia",508
"2018","Turkey",6269
"2018","Turkmenistan",2
"2018","Uganda",283
"2018","Ukraine",3061
"2018","United Arab Emirates",1106
"2018","United Kingdom",45523
"2018","United States",378125
"2018","Uruguay",726
